Month,Average Transport Amount (people),temperature
201601,2015843,16.2
201602,1926929,15.5
201603,2099816,17.5
201604,1993945,24
201605,2020689,27.1
201606,1964780,29.4
201607,1961747,30.3
201608,2035594,30.1
201609,1874315,27.8
201610,2025883,27
201611,2093201,22.6
201612,2237913,20.1
201701,1936615,18.3
201702,2046706,17
201703,2122548,18.2
201704,2034486,22.5
201705,2010690,25.6
201706,2020000,28
201707,1962774,30.3
201708,2043185,31.1
201709,2008376,29.6
201710,1993600,25.6
201711,2101132,22.5
201712,2247974,17.8
